,S.No,Comments,Label,enc_label,Label_hate,Label_non-hate,cleaned,transliterated_text
26,HATE_1027,Die hard fan frm Kerala  Nenu choosina pedha actor uh Tollywood lo Pawan Garuu,non-hate,1,0.0,1.0,Die hard fan frm Kerala Nenu choosina pedha actor uh Tollywood lo Pawan Garuu,డై హార్డ్ ఫాన్ ఫ్రమ్ కేరళ నేను చూసిన పేద యాక్టర్ ఉహ్ టాలీవుడ్ లో పవన్ గరూ
27,HATE_1028,Anna....Nee lanti vaale kavali .... TDPki,non-hate,1,0.0,1.0,AnnaNee lanti vaale kavali TDPki,అన్ననీ లాంటి వాలే కావాలి టీడీపీకి
28,HATE_1029,Babulake Baabu Super star Mahesh Baabu ,non-hate,1,0.0,1.0,Babulake Baabu Super star Mahesh Baabu,బాబులకే బాబు సూపర్ స్టార్ మహేష్ బాబు
29,HATE_1030,Jai Pawan Kalyan Garu. Pawan Ji in Andhra and Modi Ji in centre. Perfect Combo🇮🇳🇮🇳  I am a big fan of sir from Delhi. I wish we had someone like him in Delhi.,non-hate,1,0.0,1.0,Jai Pawan Kalyan Garu Pawan Ji in Andhra and Modi Ji in centre Perfect Combo  I am a big fan of sir from Delhi I wish we had someone like him in Delhi,జై పవన్ కల్యాణ్ గారు పవన్ జి ఇన్ ఆంధ్ర అండ్ మోడి జి ఇన్ సెంటర్ పర్ఫెక్ట్ కాంబో  ఇ ఏఎం అ బిగ్ ఫాన్ ఒఎఫ్ సిర్ ఫ్రామ్ దిల్లీ ఇ విష్ వే హాడ్ సోమియోన్ లైక్ హిమ్ ఇన్ దిల్లీ
30,HATE_1031,Sir ycp ki balle gunapam dimputunavu,hate,0,1.0,0.0,Sir ycp ki balle gunapam dimputunavu,సిర్ వైసీపీ కి బల్లె గుణపం దింపుతునవు
31,HATE_1032,"Harish Rao garu adiginatlu, Kaleswaram project pai, CBI inquiry veyali",non-hate,1,0.0,1.0,Harish Rao garu adiginatlu Kaleswaram project pai CBI inquiry veyali,హరీష్ రావ్ గారు అడిగినట్లు కాళేశ్వరం ప్రాజెక్ట్ పై సీబీఐ ఇంక్వైరీ వేయాలి
32,HATE_1033,Gounu leduga anduke intlo tongunnadu bayataki vaste ummivestarani,hate,0,1.0,0.0,Gounu leduga anduke intlo tongunnadu bayataki vaste ummivestarani,గౌను లేదుగా అందుకే ఇంట్లో తొంగున్నాడు బయటకి వస్తే ఉమ్మివేస్తారనీ
33,HATE_1034,Pavan Kalyan gari nayakatvam vardillali jai power star ,non-hate,1,0.0,1.0,Pavan Kalyan gari nayakatvam vardillali jai power star,పవన్ కల్యాణ్ గారి నాయకత్వం వర్దిల్లాలి జై పవర్ స్టార్
34,HATE_1035,Sagam kaalchina chutta peekalaku brand amsador,hate,0,1.0,0.0,Sagam kaalchina chutta peekalaku brand amsador,సగం కాల్చిన చుట్ట పీకలకు బ్రాండ్ అంసాడోర్
35,HATE_1036,Bjp central lo vachi yemi chesinru chepu,hate,0,1.0,0.0,Bjp central lo vachi yemi chesinru chepu,బీజేపీ సెంట్రల్ లో వచ్చి ఏమి చేసిన్రు చెపు
36,HATE_1037,PK navu janmmalo ward member kuda Kaledu,hate,0,1.0,0.0,PK navu janmmalo ward member kuda Kaledu,పీకే నావు జన్మ్మలో వార్డ్ మెంబర్ కూడా కాలేదు
37,HATE_1038,Lancham antunaru anam garu...... inthaku mundu your government ilagey chesinda...,hate,0,1.0,0.0,Lancham antunaru anam garu inthaku mundu your government ilagey chesinda,లంచం అంటునారు అనం గారు ఇంతకు ముందు యూర్ గవర్నమెంట్ ఇలాగేయ్ చేసిందా
38,HATE_1039,Jagan eppatiki CM avvaledu raasi pettukoo....ha ....,hate,0,1.0,0.0,Jagan eppatiki CM avvaledu raasi pettukooha,జగన్ ఎప్పటికి సీఎం అవ్వలేదు రాసి పెట్టుకూహ
39,HATE_1040,Kirrak movie cinema gurinchi bad ga anakandi jai mahesh anna,non-hate,1,0.0,1.0,Kirrak movie cinema gurinchi bad ga anakandi jai mahesh anna,కిర్రక్ మూవీ సినిమా గురించి బాడ్ గా అనకండి జై మహేష్ అన్న
40,HATE_1041,Ka pal garu miru super,non-hate,1,0.0,1.0,Ka pal garu miru super,కా పాల్ గారు మీరు సూపర్
41,HATE_1042,Hehe mla kuda gelavaledu kanisam gurtu kuda ledu ento pikuta antunnadu,hate,0,1.0,0.0,Hehe mla kuda gelavaledu kanisam gurtu kuda ledu ento pikuta antunnadu,హెహె మ్లా కూడా గెలవలేదు కనిసం గుర్తు కూడా లేదు ఎంటో పికుట అంటున్నాడు
42,HATE_1043,No 1 loafer. Jai TDP-Lokesh,hate,0,1.0,0.0,No 1 loafer Jai TDPLokesh,నో ౧ లోఫర్ జై టీడీపీలోకేష్
43,HATE_1044,Asalu ka paul time ivvakudadhu amitashaku andhukante ayana 120 deshala pm lanu ayana kalisaru,non-hate,1,0.0,1.0,Asalu ka paul time ivvakudadhu amitashaku andhukante ayana 120 deshala pm lanu ayana kalisaru,అసలు కా పాల్ టైమ్ ఇవ్వకూడదు అమితాషాకు అందుకంటే ఆయన ౧౨౦ దేశాల పీఎం లను ఆయన కలిశారు
44,HATE_1045,Vammo mamulodivi kadu swamy Nuvvu,non-hate,1,0.0,1.0,Vammo mamulodivi kadu swamy Nuvvu,వన్మో మామూలోడివి కాదు స్వామి నువ్వు
45,HATE_1046,Manalli yavadu ra apeddi,non-hate,1,0.0,1.0,Manalli yavadu ra apeddi,మనల్లి యవడు రా అపెద్ది
46,HATE_1047,Poraaa..Red Flower...,hate,0,1.0,0.0,PoraaaRed Flower,పోరాఆరెడ్ ఫ్లవర్
47,HATE_1048,He has more talking power Aina daivajanulato anta easy kadu mari,non-hate,1,0.0,1.0,He has more talking power Aina daivajanulato anta easy kadu mari,హే హాస్ మోర్ టాకింగ్ పవర్ అయినా దైవజనులతో అంత ఈసీ కాదు మరి
48,HATE_1049,Mahesh babu nilabadithe chalu memu chusathsam bayya super dailoge ,non-hate,1,0.0,1.0,Mahesh babu nilabadithe chalu memu chusathsam bayya super dailoge,మహేష్ బాబు నిలబడితే చాలు మేము చూసత్సం బయ్యా సూపర్ డైలాగే
49,HATE_1050,Idira pual power anty ippudina telusukondra,non-hate,1,0.0,1.0,Idira pual power anty ippudina telusukondra,ఇదిరా ప్యూయల్ పవర్ యాంటీ ఇప్పుడిన తెలుసుకోండ్రా
50,HATE_1051,Ramu garu correct  ga chepparu sir,non-hate,1,0.0,1.0,Ramu garu correct ga chepparu sir,రాము గారు కరెక్ట్ గా చెప్పారు సిర్
51,HATE_1052,Nuvvu bjp b party ra houle,hate,0,1.0,0.0,Nuvvu bjp b party ra houle,నువ్వు బీజేపీ బ్ పార్టీ రా హౌల్
52,HATE_1053,Ayanni okasari kodithey meeru laksha sarlu chupisthunnaru emkavali meeku,hate,0,1.0,0.0,Ayanni okasari kodithey meeru laksha sarlu chupisthunnaru emkavali meeku,ఆయన్ని ఒకసారి కొడితే మీరు లక్ష సార్లు చూపిస్తున్నారు ఏంకావాలి మీకు
53,HATE_1054,Employees ki antha salary lu vasthuna chalatledhu ante mari nonemployees ami chey,hate,0,1.0,0.0,Employees ki antha salary lu vasthuna chalatledhu ante mari nonemployees ami chey,ఎంప్లాయీస్ కి అంత సాలరీ లు వస్తున చాలట్లేదు అంటే మరి నానెంప్లాయీస్ అమి చేయ్
54,HATE_1055,tc rate penchadam kadu...udyamalu cheyakunda... employees kastapadithe development avutundi...,hate,0,1.0,0.0,tc rate penchadam kaduudyamalu cheyakunda employees kastapadithe development avutundi,టీసీ రేట్ పెంచడం కడూద్యమలు చేయకుండా ఎంప్లాయీస్ కష్టపడితే డెవలప్మెంట్ అవుతుంది
55,HATE_1056,Ni jobi lo nundi oka rupai evariki ichinatlu a media lo chudaledhu sir. Pawan thana cinema dabbulu pedhavallaki pancharu,non-hate,1,0.0,1.0,Ni jobi lo nundi oka rupai evariki ichinatlu a media lo chudaledhu sir Pawan thana cinema dabbulu pedhavallaki pancharu,ని జోబి లో నుండి ఒక రూపై ఎవరికి ఇచ్చినట్లు అ మీడియా లో చూడలేదు సిర్ పవన్ తన సినిమా డబ్బులు పెదవాళ్లకి పంచారు
56,HATE_1057,Aallu eellu andaru okkate,non-hate,1,0.0,1.0,Aallu eellu andaru okkate,ఆళ్ళు ఈళ్ళు అందరు ఒక్కటే
57,HATE_1058,Etv news Ani thesesi chandrana news Ani pettandi baguntundhi,non-hate,1,0.0,1.0,Etv news Ani thesesi chandrana news Ani pettandi baguntundhi,ఈటీవీ న్యూస్ అని తీసేసి చంద్రన న్యూస్ అని పెట్టండి బాగుంటుంది
58,HATE_1059,Miru kada ra janalni mosam chesedhi ,hate,0,1.0,0.0,Miru kada ra janalni mosam chesedhi,మీరు కాడ రా జనాల్ని మోసం చేసేది
59,HATE_1060,NENUKUDA.PEDHAVADENE.UPADHE.LEDHU.VUDHYOGAM.LEDHU.PANULU.EKUVA.DHORUKADAMLEDHU,non-hate,1,0.0,1.0,NENUKUDAPEDHAVADENEUPADHELEDHUVUDHYOGAMLEDHUPANULUEKUVADHORUKADAMLEDHU,నేనుకూడపేదేనౌపదేలేఖు
60,HATE_1061,Ee sari Nennu ne boss ni chayputho kodataru plz hold til 2024,hate,0,1.0,0.0,Ee sari Nennu ne boss ni chayputho kodataru plz hold til 2024,ఈ సారి నెన్ను నే బాస్ ని చేపుతో కొడతారు పీఎల్జీ హోల్డ్ టిల్ ౨౦౨౪
61,HATE_1062,Eppudina ardaminda power cuts ap lone kaadu india mottam edhe problem,non-hate,1,0.0,1.0,Eppudina ardaminda power cuts ap lone kaadu india mottam edhe problem,ఎప్పుడినా అర్దమింద పవర్ కట్స్ ఏపీ లోనే కాదు ఇండియా మొత్తం ఏదే ప్రాబ్లమ్
62,HATE_1063,Asalem matladuthunnavo neekanna ardham ayithundha ,hate,0,1.0,0.0,Asalem matladuthunnavo neekanna ardham ayithundha,అసలేం మాట్లాడుతున్నావో నీకన్నా అర్థం అయితుందా
63,HATE_1064,Ede ap lo aite pachha media pachha party diniki kuda jagan ne karanam ane vallu,hate,0,1.0,0.0,Ede ap lo aite pachha media pachha party diniki kuda jagan ne karanam ane vallu,ఇదే ఏపీ లో అయితే పచ్చ మీడియా పచ్చ పార్టీ దినికి కూడా జగన్ నే కారణం అనే వాళ్ళు
64,HATE_1065,America Agent Jelensky....deshanni nashanam chesthunnadu.,hate,0,1.0,0.0,America Agent Jelenskydeshanni nashanam chesthunnadu,అమెరికా ఏజెంట్ జెలెన్స్కైడేషాన్ని నాశనం చేస్తున్నాడు
65,HATE_1066,Power Lo undi evaru ra vedava,hate,0,1.0,0.0,Power Lo undi evaru ra vedava,పవర్ లో ఉంది ఎవరు రా వెదవ
66,HATE_1067,Torch lite Kuda Leni rojula fake news vadu kavalane chesind,hate,0,1.0,0.0,Torch lite Kuda Leni rojula fake news vadu kavalane chesind,టార్చ్ లైట్ కూడా లేని రోజుల ఫేక్ న్యూస్ వాడు కావాలనే చేసింద్
67,HATE_1068,Prajalu andaru sachinanka peekedemiledu,hate,0,1.0,0.0,Prajalu andaru sachinanka peekedemiledu,ప్రజలు అందరు సచ్చినంక పీకేదేమిలేదు
68,HATE_1069, amarica andatho madam perigi kotukuntundi urikine,hate,0,1.0,0.0,amarica andatho madam perigi kotukuntundi urikine,అమరికా అండతో మదం పెరిగి కొటుకుంటుంది ఉరికినే
69,HATE_1070,CHETTHAPLAN.  RAAKSHASHATHVAM,hate,0,1.0,0.0,CHETTHAPLAN RAAKSHASHATHVAM,చెత్తప్లాన్ రాక్షసత్వం
70,HATE_1071,Anna nuvu chepthuntevoka emotion vasthundanna,non-hate,1,0.0,1.0,Anna nuvu chepthuntevoka emotion vasthundanna,అన్న నువు చెప్తుంటేవొక ఎమోషన్ వస్తుందన్న
71,HATE_1072,"India an Russia are best friendly countries evaru dislike chesaro vallu pak , america nd china ollu ",non-hate,1,0.0,1.0,India an Russia are best friendly countries evaru dislike chesaro vallu pak america nd china ollu,ఇండియా అన్ రష్యా ఆర్ బెస్ట్ ఫ్రెండ్లీ కంట్రీస్ ఎవరు డిస్లైక్ చేశారో వాళ్ళు పాక్ అమెరికా న్ద్ చైనా ఒళ్ళు
72,HATE_1073,Easy vochina success ni scam antarau.. Emi chepparu bhayya.. Love it,non-hate,1,0.0,1.0,Easy vochina success ni scam antarau Emi chepparu bhayya Love it,ఈసీ వోచిన సక్సెస్ ని స్కామ్ అంటారౌ ఏమి చెప్పారు భయ్యా లవ్ ఐటీ
73,HATE_1074,Niyamtruthva leaders time konni rojule.,non-hate,1,0.0,1.0,Niyamtruthva leaders time konni rojule,నియంతృత్వ లీడర్స్ టైమ్ కొన్ని రోజులే
74,HATE_1075,"samsaram kadu, adi vebhicharam",hate,0,1.0,0.0,samsaram kadu adi vebhicharam,సంసారం కాదు అది వేభిచారం
75,HATE_1076,Nice baaga dhimpav Anchor bro.,hate,0,1.0,0.0,Nice baaga dhimpav Anchor bro,నైస్ బాగ దింపావ్ అంకోర్ బ్రో
76,HATE_1077,Mari aa sangathi thelisi antha madham yendhukura niku.... Vaaru garu antunnaav....gnanodhayamyndhi koddhiga....,hate,0,1.0,0.0,Mari aa sangathi thelisi antha madham yendhukura niku Vaaru garu antunnaavgnanodhayamyndhi koddhiga,మరి ఆ సంగతి తెలిసి అంత మధం ఎందుకురా నికు వారు గారు అంటున్నావ్జ్ఞనోధయమింది కొద్దిగా
77,HATE_1078,""" MAA"" president ga gelipiste yedo peekutanu annadu yemi peekaadu ...yedyna cheyalante manchi manasu vundali megastar chesinavi chudandi ..apdbaandhavudu ..andarivadu..annayya ..jai chiranjeevi..andariki mere """" GOD FATHER """"",hate,0,1.0,0.0,MAA president ga gelipiste yedo peekutanu annadu yemi peekaadu yedyna cheyalante manchi manasu vundali megastar chesinavi chudandi apdbaandhavudu andarivaduannayya jai chiranjeeviandariki mere GOD FATHER,మా ప్రెసిడెంట్ గా గెలిపిస్తే ఏదో పీకుతాను అన్నాడు ఏమి పీకాడు ఎడినా చేయాలంటే మంచి మనసు వుండాలి మెగాస్టార్ చేసినవి చూడండి అప్ద్బాంధవుడు అందరివాడుఅన్నయ్యా జై చిరంజీవిఅందరికీ మేరే గాడ్ ఫాదర్
78,HATE_1079,One and only Mega star .....Potthi leyru....Raleyru,non-hate,1,0.0,1.0,One and only Mega star Potthi leyruRaleyru,ఓనే అండ్ ఓన్లీ మెగా స్టార్ పొత్తి లేరూరాలేరు
79,HATE_1080,Andaru ide Panlo unnattunnaru veellu vammmo meeru rechagodithe rechiporu meeplans panikirav pondi,hate,0,1.0,0.0,Andaru ide Panlo unnattunnaru veellu vammmo meeru rechagodithe rechiporu meeplans panikirav pondi,అందరు ఇదే పాన్లో ఉన్నట్టున్నారు వీళ్లు వమ్మ్మో మీరు రెచ్చగొడితే రెచ్చిపోరు మీప్లాన్స్ పనికిరావు పొంది
80,HATE_1081,"Chiranjeevi gaaru meeru eppudu greate mi manasu, mi saayam, mi kalmasham leni vyakthitwam, mi prema mundu evvaru sariporu annayya ee vishnu lantollu vandala mandochina mi kaali gotiki kuda sariporu annayya valla kullu vallane thagalapettestundi",non-hate,1,0.0,1.0,Chiranjeevi gaaru meeru eppudu greate mi manasu mi saayam mi kalmasham leni vyakthitwam mi prema mundu evvaru sariporu annayya ee vishnu lantollu vandala mandochina mi kaali gotiki kuda sariporu annayya valla kullu vallane thagalapettestundi,చిరంజీవి గారు మీరు ఎప్పుడు గ్రేట్ మి మనసు మి సాయం మి కల్మషం లేని వ్యక్తిత్వం మి ప్రేమ ముందు ఎవ్వరు సరిపోరు అన్నయ్య ఈ విష్ణు లాంటోళ్లు వందల మండొచ్చిన మి కాలి గోటికి కూడా సరిపోరు అన్నయ్య వల్ల కుళ్లు వల్లనే తగలపెట్టేస్తుంది
81,HATE_1082,Paul mosapoyadu....RGV ellipoyadu...anchor biskit ayadu gist of this non sense,hate,0,1.0,0.0,Paul mosapoyaduRGV ellipoyaduanchor biskit ayadu gist of this non sense,పాల్ మోసపోయదుర్గ్వ్ ఎల్లిపోయాడుఅంచోర్ బిస్కిట్ అయదు గిస్ట్ ఒఎఫ్ థిస్ నాన్ సెన్స్
82,HATE_1083,"Official ga 600 acres ante, unofficial GA enno, okko family member peru meedha enni ekaraalu unnayo.. Raitu bandhu okkati chalu,",hate,0,1.0,0.0,Official ga 600 acres ante unofficial GA enno okko family member peru meedha enni ekaraalu unnayo Raitu bandhu okkati chalu,ఆఫీషియల్ గా ౬౦౦ యాక్రెస్ అంటే అనోఫిషియల్ గా ఎన్నో ఒక్కో ఫ్యామిలీ మెంబర్ పేరు మీద ఎన్ని ఎకరాలు ఉన్నాయో రైతు బంధు ఒక్కటి చాలు
83,HATE_1084,Real joker re unnadu kada malli sir ,hate,0,1.0,0.0,Real joker re unnadu kada malli sir,రియల్ జోకర్ రే ఉన్నాడు కాడ మల్లి సిర్
84,HATE_1085,Mallareddy Dookudu cenima lo bramhi character correct set aithadu,non-hate,1,0.0,1.0,Mallareddy Dookudu cenima lo bramhi character correct set aithadu,మల్లారెడ్డి దూకుడు సినిమా లో బ్రహ్మి క్యారెక్టర్ కరెక్ట్ సెట్ అయితడు
85,HATE_1086,Madyalo Aa sound effects matram next level.. ,non-hate,1,0.0,1.0,Madyalo Aa sound effects matram next level,మద్యలో ఆ సౌండ్ ఎఫెక్ట్స్ మాత్రం నెక్స్ట్ లెవెల్
86,HATE_1087,E endaku aa Godugu padutunnadu.....itlaanti vaadini ekkada unchalo akkada unchali...YCP vallu ade chesaru....,hate,0,1.0,0.0,E endaku aa Godugu padutunnaduitlaanti vaadini ekkada unchalo akkada unchaliYCP vallu ade chesaru,ఇ ఎండకు ఆ గొడుగు పడుతున్నాడుఇట్లాంటి వాడిని ఎక్కడ ఉంచాలో అక్కడ ఉంచాలియిక్ప్ వాళ్ళు అదే చేశారు
87,HATE_1088,Prudhvi sir very good man now.....sir thana thappu thelisikunnaru...,non-hate,1,0.0,1.0,Prudhvi sir very good man nowsir thana thappu thelisikunnaru,పృథ్వి సిర్ వెరీ గుడ్ మాన్ నౌసిర్ తన తప్పు తెలిసికున్నారు
88,HATE_1089,Sir ee discussion lu vaddu sir power Star image poddi and mana dabba manam kottukunnattu untundi,hate,0,1.0,0.0,Sir ee discussion lu vaddu sir power Star image poddi and mana dabba manam kottukunnattu untundi,సిర్ ఈ డిస్కషన్ లు వద్దు సిర్ పవర్ స్టార్ ఇమేజ్ పొద్ది అండ్ మన డబ్బా మనం కొట్టుకున్నట్టు ఉంటుంది
89,HATE_1090,"Dear, ETV Variki , Dear, Gnapika Entertainment's Variki , Dear, Ali Gariki , Sir, Adivi Sesh Gariki , Madam, Saiee Manjrekar Gariki ",non-hate,1,0.0,1.0,Dear ETV Variki Dear Gnapika Entertainments Variki Dear Ali Gariki Sir Adivi Sesh Gariki Madam Saiee Manjrekar Gariki,డియర్ ఈటీవీ వారికి డియర్ జ్ఞాపిక ఎంటర్టైన్మెంట్స్ వారికి డియర్ అలీ గారికి సిర్ అడివి శేష్ గారికి మదం సాయి మంజ్రేకర్ గారికి
90,HATE_1091,Telugu lo sesh chala intelligent screenplay writer .. Chala talent vundhi manodiki,non-hate,1,0.0,1.0,Telugu lo sesh chala intelligent screenplay writer Chala talent vundhi manodiki,తెలుగు లో శేష్ చాలా ఇంటెలిజెంట్ స్క్రీన్ప్లే రైటర్ చాలా టాలెంట్ వుంది మనోడికి
91,HATE_1092,"Ma kharma .. rastani palinche mantrulu malla Reddy,gangula,talasani meeku oka dandam ra babu",hate,0,1.0,0.0,Ma kharma rastani palinche mantrulu malla Reddygangulatalasani meeku oka dandam ra babu,మా ఖర్మ రాస్తాని పాలించే మంత్రులు మల్ల రెడ్డిగంగులతలసాని మీకు ఒక దండం రా బాబు
92,HATE_1093,Gudivada king true leader,non-hate,1,0.0,1.0,Gudivada king true leader,గుడివాడ కింగ్ ట్రూ లీడర్
93,HATE_1094,Elders ki respect lekunda matladina vaadu Oka hero...,hate,0,1.0,0.0,Elders ki respect lekunda matladina vaadu Oka hero,ఎల్డర్స్ కి రెస్పెక్ట్ లేకుండా మాట్లాడిన వాడు ఒక హీరో
