Comments,Label
మీ వెనకాల ప్రశాంత్ కిషోర్ నడిపిస్తున్నాడు,non-hate
Ahankaram tagginchukondi madam..,hate
కోక బాగుంది రవికి ఇంకా బాగుంది,hate
గెలిపించుకొన్నాం కదా తల్లి ఈ నరకం అనుభూవించాలి,hate
నిజాలు నిజాయితీగా ఒప్పుకునే మనిషి,non-hate
గోరెంట్ల ను నిన్ను ఒక్క స్క్రీన్ మీద చూడాలని ఉంది.,non-hate
అప్పటికన్నా ఇప్పుడే బాగుంది,non-hate
బాలయ్య బాబునే అయోమయంలో పెట్టించావుగా అన్నా,hate
నవ్వు ఆపుకోలేకపోతున్నాను అన్న,non-hate
ఏమో కానీ విజయశాంతి కి మాత్రం ఖచ్చితం గా ఇంజక్షన్ చేసిఉంటాడు,non-hate
బాలయ్య బాబు feeling ; వీడికెల తెలిసింది అబ్బా,non-hate
పాపం బాలయ్య ఎం అర్దం కాలేదు,hate
ఎంతమంది అని గుర్తు పెట్టుకుంటాను అని బాలయ్య ఉద్దేశం,non-hate
చేసి ఉంటారు సినిమా రంగంలో ఇదంతా కామన్ కదా,non-hate
మై ఫేవరెట్ టు లక్ష్మీ నరసింహ మూవీ,non-hate
మిరు అంటే పిచ్చి కానీ కల్వలేము అంతే ప్రేమ అన్న,non-hate
అభిమానులు అంటే ఎంత ప్రేమో ,non-hate
రవి ప్రకాష్ వార్త ప్రపంచంలో ఒక సంచలనం. రవి ప్రకాష్ లేనిదే టీవీ 9లేదు,non-hate
చిరంజీవి సర్ కి ఇలాంటి పరిస్థితి వొస్తుంది అని ఎవ్వరు కలలో కూడా ఊహించి ఉండరు,non-hate
ఎదుటి మనిషికి చెప్పేటందుకే నీతులు ఉన్నాయి.,hate
Mundu kanty epudu Baga style ga unnaru sir,non-hate
భయం అతని బ్లడ్ లో లేదు,hate
ఎవరు సంగతి ఏమోగానీ మీరు మాత్రమే చాల గొప్పవారు,non-hate
Oke okka show tho aksanni antesaru meeru....,non-hate
meru..ellgha chinha chinha drse llhu vehyakainde,non-hate
ఏంట మీ ఇద్దరు బాధ ఒక్క ముక్క అర్థం కాదు,hate
పేర్ని నాని గారిని దేనితో పోల్చాలో అర్థం కావట్లేదు,non-hate
సకల జనులూ కులాలకు అతీతంగా ప్రేమించే....... ఒకే ఒక్క నాయకుడు,non-hate
ముమ్మాటికి ఇదే నిజం కానీ ఇలా మాట్లాడితే ఎవరికీ నచ్చదు,non-hate
Pawan kalyan cm aithene Andhra Pradesh bagupaduthundi avari valla kadu andaru dochukune valle unnaru,hate
ఓటమి ఎంతో నేర్చుకోవచ్చు దాని కిక్కే వేరు ఉంటుంది,non-hate
lokesh garu epudu chala matured ga vunnaru,non-hate
చాలా బాగా అడిగారు కాని కలలు కనడం మంచిది,non-hate
అన్నా ఈ ముసలి ఇప్పుడు లేదు మొన్న చనిపోవడం జరిగింది,hate
సూపర్ భాను,non-hate
Miku mana support yeppudi untundi Annayya we love Pavan boss ️,non-hate
Anna nuvu vara level ante,non-hate
అన్నయ్య పేరు వింటే గూస్ బమ్స్ వస్తాయ్,non-hate
Rgv tho vaka interview plan chesthunava nuvu kuda,non-hate
Idi Edo reel kabhatti sari poindhi lekha pothe aadhi anna deenikhi kuda eadoka setair veseavadu Mee midha,non-hate
Slient pettu bangaram phone,hate
Tension lo silent lo pettadam marchipoyindhi,non-hate
naresh pottigane vundura famous ga vuntav,non-hate
నిజంగా ఈ పాట ఉందా,non-hate
E phone Baya inta clarity vachindi video adi theatre lo,non-hate
Songs kosam mv ki vellochu super unnayi 3 songs,non-hate
Ekkada bro nuv ee movie chusindi ,non-hate
Ye mobile lo thesav bro clarity bagundhi,non-hate
Epudu varaku upload chysina videos e video a clarity ga vundi,non-hate
Movie  block buster Mass jathara bomma daddarillipoyindi in theatres super dooper hit,non-hate
𝙰𝚝𝚝𝚎𝚗𝚍𝚎𝚗𝚌𝚎 𝚐𝚞𝚛𝚒𝚗𝚌𝚑𝚒 𝚞𝚗𝚝𝚎 𝚋𝚊𝚐𝚞𝚗𝚍𝚞,non-hate
4 lo second di tisi 1 ki 2 ki madyalo pedite 4 avtundi order saripotadi,non-hate
same nen ade anukunna,non-hate
okkati kuda thiyanavasarm ledhu ,non-hate
yela vastai ilaanti idea lu…,non-hate
Table reverse move cheyyali okasari,non-hate
4 unnai kada andulo okati teyali easy,hate
Nenu ithae thinevadini inthsepu chudanu,non-hate
లాస్ట్ నాలుగు బాధము లో మొదటి రెండు బాధము లో ఒకటి తీసుకొని లాస్ట్ లో ఒకటి పెడితే సరిపోతుంది సింపుల్,non-hate
asalu dance undhi chudu bro hats off antey,non-hate
యూట్యూబ్ లో ఏమని సర్చ్ చేయాలి బ్రో ఈ పాట కోసం,non-hate
Dani kanna mundu gym lantivi join aiyi slim avali apudu try cheyochu evanni,non-hate
ఒకసారి మా తెలంగాణ కి ర బ్రదర్... నీకు అదికూడా దొరకదు... ఉన్నది చేసుకొని ...వేరే జాబ్ కి ట్ర్య్ చెయ్,non-hate
కొంతమంది కా ఉద్యోగం కూడా లేదు,non-hate
Kinda paddakuda meeku emkaledu ,non-hate
"ప్రాణం పోతే తిరిగి రాదు బ్రదర్స్,,, చూసుకొని డ్రైవ్ చేయండి ప్లీజ్ ",non-hate
డబ్బు పోతే తిరుగు సంపాదించుకోవచ్చు కానీ ప్రాణం పోతే తిరిగి సంపాదించింది కొంచెం జాగ్రత్తగా డ్రైవ్ చేయండి,non-hate
Cheppedhi em lekapoina ha hm ani anna parledhu vallatho matladali anthee,non-hate
Phone cut chesthey inka yavaritho mataladestham ani Ami leka poina chepu chepu ani rod avtharu edhi fact,non-hate
Dharani badha padthunte naku nachatle e videos vdu,non-hate
ఏం మాట్లాడుతున్నారు రా నరాలు కట్ ఐపోయినాయ్ దయచేసి షో బంద్ చేయడం మేలు ,non-hate
ఒరేయ్ ఆ పోడుపు కథ అరటీకాయ,hate
రష్మిది అని చెప్పి ఆది లేకపోతే అలుగుతుంది స్త్రీల పరువుతీస్తున్నది,hate
Madam sigupaduthundhi emaina guthochintlu undhi,hate
Meru battalu vesykovadam avasarama,hate
Masooda fancy store lo konnava..,non-hate
Ayina valla evaro gf neku msg ki enduku reply istadhi bayya,hate
Papam bratheke unada ga ney champasavu kadha bro papam,hate
Chitu videos Post cheyandi cute ga unnnadu,non-hate
Endukante miku circus and gimanstics radu only dance mathrame vachu kabatti sir ,hate
Shekhar master indulo unnada leda?,non-hate
Avunu sir meeru dance chestaru kani veelaki circus kavalii,non-hate
Ramana gogula voice Pawan anna ki super ga set avthadi,non-hate
Appatlo ee kacheri lu bhale undedvi,non-hate
సంజయ్ మందు పార్టీ లేద,hate
Endi ayya idi entha mandiki ide recording pettaru,non-hate
Idhi nijanga jarigindha leka veellaki news ledhani kottha news create chesaara,hate
Arey ma intlo naku 2k kuda gettiga evaru,hate
Papam andaru help cheyali valla family ki,non-hate
రెసెంట్ గా మేము అవతార్ సినిమాకి యెల్లినపుడు ఇట్లాంట్ సీనే చూసాం భయ్యా,non-hate
Next janasena కీ vote వేయండి,non-hate
E ycp valu Adho goppa dhanam chesaru ani e sound Anti bhaiya,non-hate
Kerak dance mare Tagadeladu ladu Antha,hate
Papam e papa aa song ni chusi chusi ila aipoindi,non-hate
Rey edho reels chesthe comments enti bro alla pettaru,hate
Aa patalo una depth mee voice lo kanipinchindhi,non-hate
Nenu velu pedatha choodu Nenu velu pedatha choodu,hate
ఇంతకీ ఏం పాట అది,non-hate
అనుపమ లాగా మళ్లీ పుట్టాలి,non-hate
ఇలాంటి అన్నయ్య నాకు కావాలి ప్లీజ్ నాకు అన్నయ్య గా వుండి పోవ అన్నయ్య ,non-hate
naku annayya ledhu,hate
యాంకర్ సూపర్ గా ఉంది... ఆర్జీవి గారికి ఫుల్ ఎనర్జీ ఇస్తుంది.,non-hate
నీలాంటోళ్లని చూస్తే ఆటోమేటిక్ ఎనర్జీ,non-hate
సూపర్ వుంది... ఫిజిక్,non-hate
యాంకర్ ఏంటి రా బాబు సూపర్ గా ఉంది,non-hate
ఇలాంటి యాంకర్ వుంటే ఎవరికైనా ఎనర్జీ వస్తుంది,non-hate
ఏదేమైనా rgv ని ఇంటర్వ్యూ లు చేసే anchor లు,non-hate
నువ్వు కేక వా అంమి నుంను చూశాక మతిపోతుంది,hate
రాను రాను గ్లామర్ వచ్చేస్తున్నావ్ ఆంటీ,non-hate
"""Rana"" garu ee madya baaga ""famous"" avuthunnaru",non-hate
బాహుబలిలో నిజంగా రానా ఆక్టింగ్ బాగుంది,non-hate
కత్తి లాంటి యాంకర్,non-hate
మీరు మెగాస్టార్ అన్నయ్య,non-hate
మెగా స్టార్ పక్కన కూర్చునే హక్కు నిత్య కి లేదు..,non-hate
Naku e interview chusaka babu gari meda enka respect chala perigindi,hate
"CBN, YSR గారు ఒక్కటే పార్టీ లో ఉండి ఉంటే మన రాష్టం డెవలప్మెంట్ లో NO:1 ప్లేస్ లో ఉండేది.",non-hate
మీరు చాలా గ్రేట్ సార్ మీలాంటి లీడర్ లేడు,non-hate
Chandrababu Gari rajasekhar Gari sneham super,non-hate
గెలుసుకున్న వెక్తి చాల అదృష్ట మంతుడు,non-hate
మీరు ఇలాంటి ఎమ్మెల్యేలు మన దేశంలో కావాలి సార్,non-hate
మాది అనంతపురం మా ఊరు దగ్గరలోనే ధర్మవరం కేతిరెడ్డి అన్న చాలా మంచి వ్యక్తి,non-hate
"కేతిరెడ్డి గారి మనసు చాలా మంచిది,...",non-hate
మీ videos అన్ని చూసి మీకు దేవుడు ఇంకా ఎంతో ఇవ్వాలని కోరుతున్నా అన్న,non-hate
మీలాంటి వారు మా తెలంగాణ కు రావాలి అన్నయ్య,non-hate
"అన్న నేను చేసే పూజలు, జపాలు, నాకు వచ్చే పుణ్యం అంతా నీకే చందాలని దేవుని కి కోరుకుంటా అన్న",non-hate
"ఫ్యాక్షన్ ప్రక్కన పెట్టి ,ప్రజల్లో గుండెల్లో ఉన్నారు సర్",non-hate
 meru ap kuda cm aeithe bagunu sir,non-hate
YCP lo avarena manchiga work chethunaru anthe Adhi MLA KETHI REDDY gare,hate
Anna meeru chesepanulaki matallev anna,non-hate
Super sir pillalu chala chala happyga fell avtharu,non-hate
మీ గురించి చెప్పడానికి మాటల్ లేవు మీరు సూపర్ అన్న,non-hate
"బండి ఆమెకి సాయం చేశారు., అలాగే పిల్లలు కి కొని పెట్టారు",hate
థాంక్యూ అన్న మీలాంటి ఎమ్మెల్యే ని ఎక్కడ చూడడం లేదు,non-hate
మీకు జన్మ నిచ్చిన తల్లిదండ్రులకు ఎంతో అదృష్టం,non-hate
సుపర్ సార్ మీలాంటి ఎమ్మెల్యే మా తెలంగనకు కవలి,non-hate
akkada old people ki help chesaru and at the same time children ni happy chesaru,non-hate
అన్న మీలాంటి ఎమ్మెల్యేని చూస్తుంటే చాలా సంతోషంగా ఉందన్న,non-hate
మా ఊరు పావగడ మీలాంటి వాళ్ళు కర్ణాటక కి రావాలి,hate
Mothaniki horn kotta kunda pani cheyyaru ani maku ardham ayindhi,non-hate
Men bane unnam kani mirenti mari road midha ekkada room ledha,hate
Mem bane unnam kani.... Niku venuka bagunda,hate
Mega star n shekar master all time block buster HIT,non-hate
Mari train nadipe vadini kodithe enni horns kodathadu ,non-hate
Maaa entiki vachi bangaram edharam kalisi tindham,hate
M M కీరవాణి సంగీతం అంటే మామూలుగా వుండదు రక్తం మరిగిపోతోంది,non-hate
Kaanivanndi ra kaanivandi,hate
Janalu picha nayallu ayte avaru yemaina tisukontaru bro,hate
Inni horns vinna kabatti naku pichi ekkuthundhi ani ardam ,hate
Indulo thappu evaridhi???,non-hate
Indhakati nunchi choosthunna aa dress endhuku yeguruthi bayya,hate
Ila e video continuous ga mem andharam chusthey maa andhariki burrapadu ani ardham ,hate
I have one dout long drive ke velle em chestaru  haa jst asking ,non-hate
"Fast ga vacchina vadu,road cross chesthunna vadu iddharu eps ey",non-hate
Face chupichakud eanti sis edhi,hate
Eppudu cbi ni kuda ammuthadu ley,hate
Enti dhabidi dhibedena car loo .. motham ah ah naughty Bhanu,hate
Endhuku adiganu ra anukkoni untadhi,hate
Ee pilla March lo 10 th rasindhi kada malli school lo ne undhi enti,hate
ECE antay branch kadu Fire  u,hate
Direct ga food department ni adagaleka ala cover chesindhi,hate
DC machines degara velli induction motor antadu ndi,hate
Dailogue matram superb ga cheparandi,non-hate
College ki poni vallaki ye day aithe emi ,hate
Cinima release ayyaka e song famous avthadi nenu chepthunna raskondi,non-hate
Chillara mohani judge ga pettindhi evarra,hate
Chala akali vesthundhi baga,non-hate
Buurapadu Burrapadu ayyababoi,hate
Bro nice editing bro meeku kanipinchi untee like kottamdi,non-hate
Bhanu prema lo padindhii royyyyy......,non-hate
Atha kodalu midha oka reel cheyandi akka,non-hate
Anupama ma intiki ra anupama thindham ra anupama ,non-hate
Anti bayya nuvvu okka video tho subscribe chepinchav,non-hate
"Ante eppudu trend ala vundi, yem chestam oka frnd inko frnd ni kuda relation loki laakelutunnadu",non-hate
Annayya ni touch chese dammu evariki ledu,non-hate
Akka me babe face eppudu chupisthav,non-hate
Akka annadi photo pettu chudam,hate
Ah interview tarvata jinthaka githa githa ne na lucky person bro nuvu world lo ne jhonny bhai tarvatha,non-hate
Ah bombai car ki am bumper protection petina original bumper eh legsipodi,hate
"Age తో సంబంధం లేకుండా, డ్యాన్స్ తో నేటి యువతరానికి ఛాలెంజ్ గా నిలుస్తున్న ఏకైక హీరో మెగాస్టార్ చిరంజీవి అన్నయ్య ️️️",non-hate
Adhi guntur government hspl mundhu ra ayya ma frd valla frds eh vallu ,hate
Abba nv super ga chesavu e video 70times chusa ,non-hate
Aashu akkada cigarate smoke chestundhi,non-hate
Aa uncle kavalani aunty midha padi and vehicle kadhilindhi by mistake le madam antadu,hate
2024 lo anni non Sunday lu vastayi le... Ala motivate avvatame ika,hate
ముందు నీకు kcpd ఐతే ఇలాంటి పదాలు వాడకుండా ఉంటావ్ ,hate
Yevarrra pugadddu dhanikki judgement echindhi chepamannni,hate
Idhepudu judge ayindhii...,hate
అయ్యా బువ్వ ఎలా పెడుతున్నారో అదికూడా చుపియండి,hate
Paisal vunte emaina jaruguthai driving ranodiki kuda licence istunaru indulo vintha emundhi ,hate
" naani ee madhya Roja tho kalsi manchi punchlu vesthunnad ra, kaani avi pelaltla nagabaabugarru navvatla",hate
Swami lane vunnav nijanga super swami,non-hate
Sir Royal em filed bike person shirt bagundi link peduthara plss,non-hate
anna inka same background music sup anna inka elanti videos thiyandi,non-hate
Videos chala bagunnaya manchi message istunnaru annya,non-hate
Babu gadu chala baga acting chesthunadu super ra,non-hate
"First search cheyali ante balance undali kadha raa babu, meerekkada dorikaru ra babu maku ",non-hate
నెట్ ఉండాలి కదా బ్రో,non-hate
Mundhu adhi type cheyadanikeina recharge vundali kadha beo ,hate
నేను కూడా zomoto లో చేస్తున్నా నన్నెవరూ లాగలేదు ,non-hate
Nuv thop Raju anna Prabhu తర్వాత నువే,non-hate
Chaduvi samskaran nerpaniki sampadayyaniki tharvatha,non-hate
Meekem pani leda bayyaa ilanti vallani techukoni vedios pedataru ,hate
Aa 10th covid pass kadha,hate
Chaduvu raadu annappudu EE dialogues cheppali,non-hate
Bro ipudhu chadivithy chalu nik job evadu esthadu,non-hate
Bro edina avachu eduti vadiki respect evali kada mari antha attitude vunte kastam,non-hate
అమ్మ నాన్న ఉంటే ఆ సంతోషం వేరు వారిద్దరు లేకపోతే ఆ బాధ సంతోషం వేరు,non-hate
"Repu vedu kuda okadiki Tandri avuthadu,vela koduku entha ki elaga chustha telusthudi",non-hate
 మిడిల్ క్లాస్ తండ్రి కొడుకుల అనుబంధం ఇలాగే ఉంటుంది ,non-hate
Andaru revanth gelusthadu anukoni shrihan ni money thisukomanaru,non-hate
Edi choosi kuda srihan ni blame chstunru anta great abba,non-hate
శత్రువునైనా నవ్వుతూ పలకరించి గొప్ప మనసున్న వ్యక్తి రా మా జగనన్న,non-hate
Enduku navvutado ardam kaadu ,non-hate
Rey appu nee daridra navu nee face chudaleru janalu,hate
మీలాగా ముందు ఒకలాగా వెనకాల ఇంకోలాగా ఉండడు ఇప్పుడు ఒకేలా ఉంటాడు శత్రువునైన ప్రేమించే గొప్ప మనసున్న వ్యక్తి రా మా జగనన్న,non-hate
ఆ నవ్వేంటో మీ విధానాలు ఏంటో ఇప్పటికీ మాకు అర్థం కాదు,hate
Prathhi uuru ila untey superb anevallu enthamandi,non-hate
Yedho oka roju nuvvu goppodivi avuthav babu,non-hate
Endhukandi ma A.P people meda intha paga pattaru me family antha,hate
Same mid night recording dance behavir,non-hate
Nee matalaki evaraina fidaa avutharu mawa ,non-hate
ఒక మంచి హీరో గోపిచంద్ గారు,non-hate
Neanu Ameerper lo eappati nundoo untunna but noo use,non-hate
Naaku thelusu chivarini veelani jagan mama train batch chestharani,non-hate
Na arm a podavuga vundhi bro na kali kantay,hate
Mottani ki manchi message ichhav bayya Ala pilichina prathi ammayi venuka pothe Gitla intlo battalu ginnelu thomipistharu ani,hate
నువు adadhani ve kadu,hate
mamidikayalo rasam thagalanipisthudi,hate
Nuvvu Adadhanivaithea first paita saduruko,hate
Nuv nee avataram enta aa cheera kattukovatam e,hate
dennichusthe chi daridram,hate
Meeku అన్ని peddavigaane ఉంటాయి,hate
Po chala pedadiga undhi batalu vipi rodlo kurcho ve panikirani Munda pandi moham dhana,hate
neeku sigu ledhu chi west ,hate
కొక బాగలేదే బోసిడికే,hate
challa peddaga unaiii kadhaa,hate
Lopala kinda pettuko chustamu,hate
ఇలాంటి చెత్త మాటలు చెత్త పనులకి పనికి వస్తా,hate
anta peddavi yela sampadinchavu cheppava,non-hate
Vatini tisukelli gudda lo petuko,hate
Koka Bane undhi. Kindha pooko Ela undho teleedhu,hate
jocket ippukoni langa ippukoni nee falthu matalu nuvu ,hate
Pooooove langa Dana ............tu ne bratuku karona Aina vachi poledu edi....,hate
కింద కూడా కడుక్కో కొద్దిగా ఇక్కడి దాక smell వస్తుంది,hate
Ne sollu sorakayla vunay,hate
వీడు కోసం కేసులు పెట్టించుకోవలి ఎమోో,hate
నిజంగానే బుద్దిలేకుండా గెలిపించుకున్నాము worst CM,non-hate
చెత్త ప్రభుత్వం చెత్త మీద కూడా పన్ను ఏస్తుంది,hate
చెప్పు తో కొట్టాల్సిందే అక్క వాళ్ళు నీ,hate
నిజంగానే బుద్దిలేకుండా గెలిపించుకున్నాము worst CM in AP,non-hate
సెక్స్ వర్కర్స్ అందరూ…ఒకేచోట చేరారు కదరా…..,non-hate
వాడి మీటింగ్ కి వెళ్లిన ప్రతి అమ్మయి పతివ్రతలే,hate
వీడి తో మీటింగ్ లు పెట్టె వాళ్ళ కి బుద్ధి లేదు,hate
అది ఇష్టం కాదు కామం.,hate
ఎదవలకు అవకాశం వస్తే ఇలాగే ఉంటది,hate
వాడు అంటే అన్ని వదిలేశాడు మీకేమైంది మరి,hate
వాళ్లంతా ఒకే తరహా పారం బోకులు,hate
వాళ్లంతా ఒకే తరహా పారం బోకులు,hate
వాడు పెళ్ళాన్ని. కన్న బిడ్డని వది లేశాడు. ఇంకేం బాధ,hate
ఇప్పుడు ఆంధ్రజ్యోతి ముందుకు పోయి బట్టలు విప్పుతవా ఎంది,hate
అందరి దగ్గర పడుకునే దానివి నీకెందుకే ఈ విషయాలు,hate
ఈ సారి మీరు తప్పని సరిగా బట్టలు విప్పవల్సిందె లేకపోతె ఐ హట్టు.,hate
నువ్వు చీర కట్టుకొని వీడియో చేయటానికి సిగ్గులేదే నీకు,hate
ఐ శృంగార శాఖ మంత్రివర్యులు,non-hate
ఉన్నది ఉన్నట్టుగా అంటే ఎవరికైనా మండుద్ది.,non-hate
Nuvvu dharnalu cheyali battalu lekunda ,hate
మళ్ళీ బట్టలు విప్పుకొ తొందరగా చూడాలని వుంది,hate
శ్రీ రెడ్డి  కొంచెం నోటి దూల తగ్గించుకుంటే మంచిది,hate
andhri tho dhgunchi kuntundi,hate
Lanjalaku pelii eanduku,hate
నీవు చేస్తావా కాపురం,hate
దీనినే మెంటల్ అంటారు,hate
యదవలను ఎంతో మందిని చూసాను కానీ ఇటువంటి ఒక లక్ష్యం అంటూ లేని యదవని వీన్నే చూస్తున్నా,hate
అందుకే ఏపీ ప్రజలు వీడ్ని హఠావో అన్నారు,non-hate
కడుక్కోవలసింది శుభ్రం గా కడుక్కో ఎవడితో ఏమి గలీజు పనులు చేసి వచ్చావో ఎవరికి తెలుసు,hate
ఆకులు చేతులు పుకులు అన్నీ మంచిగా కడుక్కోవాలి,hate
Mundduga p ku kadukovalli anatundi devuda,hate
పెద్ద పెద్ద బోండాలు ఎంత బాగున్నాయో,hate
Osey laanjaa nethulapave,hate
Aakulu pookulu cheyoddu,hate
Nuvvu kadukkovaali....evari mogga pattukontavo,hate
Mundu musukuko,hate
Mundhu adhi kadukooo,hate
Baga kaduko lekunte said effects vasthai,hate
Nuvvu ennisarlu kadukkuntav ennisarlu ginchukuntav,hate
Puvvu kuda kaduko vasana ikkadike vastundi.....,hate
Avi nethini kade ne bonda nethallu,hate
Papam vadiki poye kalam vachidhi vaddu hotel Inka evaru rarrru,hate
Aaa hand tho yevarevadi pattukunnavo emo baga kadukko mouth kuda baaga kadukooo,hate
Pove lanja,hate
గుంట మంచి పొంగు మీద ఉంది,hate
కొబ్బరి బొండాలు కన్నా పెద్దగా ఉన్నాయ్,hate
Baaga pechasindhi,hate
సళ్ళు super గా ఉన్నాయ్,non-hate
దీనికి బాగా దులెక్కి కొట్టుకుంటుంది,hate
మాకు ఏంది ఈ కర్మ ఎన్ని రోజులు వినాలి మీ మాటలు ,hate
వేసుకోవడం దేనికి దాచుకోవడం దేనికి,hate
దీనమ్మ జీవితం.... కళ్ళు చెదిరిపోయయి....,hate
మీకు దండం పెడతా ఈ మ్యూజిక్ ఏందిరా నాయనా,hate
శేఖర్ పిచ్చిపట్టినట్లు చేస్తున్నాడు డాన్స్,hate
ప్రేక్షకులని ఏదవలని చేయడంలో మీరు దిట్ట,non-hate
"E government ki ఎవరూ ఎదురు మాట్లాడకూడదేమో, రాక్షస పాలన",hate
ఆ రోగాలు కచ్చితంగా నీ వల్లే వచ్చి ఉంటాయి aa,hate
పోయేకాలం వచ్చినప్పుడు ఇలాగే ఉంటుంది..,hate
చిన్న మెదడు చితికిపొఇన శ్రీ రెడ్డి ,hate
ఇకనైనా ఖండం మ్ వాడు లేకపోతే హెచ్ఐవి గ్యారెంటీ,hate
నీపక్కలో పడుకున్నాకే ఆ రోగాలు అన్ని వచ్చినాయి,hate
Na pandu bana undi pettna,hate
Mari neku ఎనీ రోగాలు ఉన్నాయి మరి అక్క,hate
సీఎంకు సిగ్గు లేకపోతే ఇటువంటి పథకాలు ఇస్తాడు,hate
Jagan bochukuda pikaleru 2024 malli jagan cm,hate
పుష్పలో జాలిరెడ్డి ఏపీలో జైల్ రెడ్డి,hate
"420 జగన్మోహన్ రెడ్డి ఇక నువ్వు జైలుకి,, ఇదే నిజం నిజం పవనిజం",hate
మూడేళ్లకే ఆంధ్రప్రదేశ్ మొత్తం దరిద్రం అనుభవిస్తుంది,hate
అప్పుడు గానీ ప్రజల జీవితాలు వందశాతం సంకనాకిపోవు,hate
Ma chopputho meme kottukovaal,hate
చంచల్‌గూడ జైలులో 175 సెల్ లో ఖైదీ నెంబరు 175 ఫిక్స్,non-hate
బాత్రూమ్ లోకి పోయి 175సార్లు కొట్టుకోండి,hate
Rgv కాదు జగన్ గాడే తింటుంచాడు.,hate
బాబాయి నే శవాన్ని చేసిన చరిత్ర మీది,non-hate
"మరి నువ్వు తండ్రి చావుని,,బాబాయ్ చావుని అడ్డం పెట్టుకొని చేసింది",hate
నీ అంత నీచమైన మనిషిని రాజకీయాల్లో ఇప్పటివరకు చూడలేదు,hate
జైల్లో ఉండాల్సిన పిచ్చోడిని సీఎం ను చేసినందుకు మనదే ఆ తప్పు అనుభవించండి,hate
"ఛీఛీ ఇంతదారుణమైనమనిషిని,నీచమైనవక్తినిచూడలేదు.",hate
ఇలా మాట మార్చే వాడిని గొర్రెలు నమ్ముతున్నాయి,hate
నేను ఇంతవరకు ఇటువంటి కన్నింగ్ సీఎం నీ చూడలేదు,hate
30 వేల కోట్ల ఏకరలు దొబ్బడనికి కదా అన్ని పడుతున్నావు,hate
అదే 420 పరిపాలన,hate
బోచుగడివి.... నీవు తెలుసా అమిత్ షా కి.... గుండుగా,hate
వీడికి ఏదో జబ్బు ఉంది రోజు రోజుకూ ఇలా అవుతున్నా,hate
వీడిని దగ్గరకి కుడా రానివ్వరు.,hate
ఫ్యూచర్లో జగన్ గంటేస్తే ఎన్టీఆర్ దగ్గర చేరడానికి గాలం వేస్తున్నాడు,non-hate
Ntr dhaggaraku vaste ntr anna fans mukkalugaa nariki chepalaku metha gaa vestaru vinni,non-hate
జగన్ వెళ్తే మాత్రం మెడలు ఎక్కడ వంచేస్తాడో అని ఉచ్చ పోసుంటారేమో ఐతే,hate
"నువ్వు ఉండటం మాత్రం కష్టమే.....,.....నిన్ను ఎవ్వడో ఒక్కడు వెస్తడు...",hate
