,Text,enc_label
87,Prudhvi sir very good man nowsir thana thappu thelisikunnaru,1
88,Sir ee discussion lu vaddu sir power Star image poddi and mana dabba manam kottukunnattu untundi,0
89,Dear ETV Variki Dear Gnapika Entertainments Variki Dear Ali Gariki Sir Adivi Sesh Gariki Madam Saiee Manjrekar Gariki,1
90,Telugu lo sesh chala intelligent screenplay writer Chala talent vundhi manodiki,1
91,Ma kharma rastani palinche mantrulu malla Reddygangulatalasani meeku oka dandam ra babu,0
92,Gudivada king true leader,1
93,Elders ki respect lekunda matladina vaadu Oka hero,0
94,Power loki vachaka prajala paina kallu petti thokkutharuu,0
95,Assembly lo aa party kani sir ma samsyaluni gurinchi matladandi missillineous vanni matlda vaddu si,0
96,Miru chala great man Simham munduku kukkalu ravu sir Love you soo much Bratiki konnirojulaina ilane vundali Love you,1
97,Super sathi garumee action superbchala enjoy chesthunnamu,1
98,Arey budder khan nuvvu asalu,0
99,Venki anna yekkada unna haa Joshi veru,1
100,Permit room lu enduku pettirru Thaginanka oka beer tho aguthara,0
101,Kaveri jah kadu ra adi evarro kudo teliduuu jafa,0
102,Wines lo thaage system pettakandi sir banjeyandi samaanyula midhane miru ebbandhi pedtharu wines yekkada padithe akkada unnai galliko wines aindhi,0
103,Manchu Laxmi lo andam ekada kanipistunde raa babu dabbu unte stone kuda diamond laga kanipistunde,0
104,Meru devudu annalife long meru healthy ga undalani devudu ki pratistunna,1
105,Samba shivudu great humanity person,1
106,Wow real journalist mallanna gariki hattsoffmelaga andaru journalists vuntey asalu corruption cheyadaniki kuda bhayapadtaru anna,1
107,konchem odd ga behave cheyadam kadandi pitchandi edi,0
108,Eme thagi matladthundemo,0
109,Andhra lo Roads veyandi babu koncham Accidents avthunnai Vehicles anni damage avthunnai Krishna and West Godavari Roads aithey mari worst,0
110,Youtube vedios konni follow ayyedhanni tharwatha BB house lo koncham negitive feel ayya ippudu chustunte badha anipistundhi very good dancer All the Best for your future Shanmukh  ,1
111,Prajala samasyala gurinchi okaru kuda matladaru kadha nice,0
112,Ayithe life politician kavali ra Babu,1
113,Jagan paapam pande rojulu dhaggara paduthunnayi vasthunnayi vasthunnayi manchi rojulu vasthunnayi,0
114,Idemi daridramu ra Anna Assalu bharincha leka potunnamu Veellaku emaina buddhi gnanamu vunda Vella IQ enta Mott Amur family kalipi chusina 100 daatadi emo,0
115,Adhikaram vunte thuglak gadu emaina chesasthadu,0
116,agu gadi debbaku reddys ni jobslo evaru petukoru kulanike ibandi padutumndi,0
117,Chi maarandi e trolls chusaina public feeling telusukoni masalukondi,0
118,Nijam ayyina reddlu tdp ki support ga undali,1
119,Me Vally telagana Eroju Ela vundhi sir MA Andra ki kuda jagan lanty yadhava kakundha melanty ledars kavali sir great kcr and ktr,0
120,Mata tadabada kunda clear ga ktr sir matalu super,1
121,Telangana ki manchi rojulu vasthunai,1
122,Big boss lo he felt lonelya emotion lo siri ne hug cheskunadunot with bad intentionhope Deepthi understands himhis smile nd eyes both r filled with pain,1
123,meru superr andhra gurchince koncham careing im haapy for that keep supporting,1
124,Partial dharidrsm voddhu sir,0
125,Okka party lo unte neevu correctchange aite ilane untundi,0
126,Ravi teja the man behind those wonderful memes Raviteja anna ki oka Oooooo,1
127,Ycp chappina matalu vinte mosapotaru jagrtta,0
128,Vidipoyaru ana pain feel una navvuthunadu shannu,1
129,Ippudu ee vedio choostey pichha comedy ga untundhicomedy cheddam anukoni comedy aipoyava narsiredyyyyadaki poyavayyaa,0
130,Janame kurcho pettaru mimmalni tharimi kottaru,0
131,Ramcharan garu mari intha introvert ha devuda decent ga unnadu Fidha Ntr rajamouli suma garu next level super,1
132,CBN maryada poorvakanga mic isthe praja samasyalu thelusukokunda mp garu dhurviniyogam chesaru,0
133,Jokulu vesukoni navukunnaru Eppudu andaru navutunnaru Chusi,1
134,Vedu evavu overaction chesthunnadu child labour aa,0
135,Pilla pu AAthulu,0
136,velli allurjun madda guudu,0
137,Super sir mee lanti vallu undali si,1
138,Ah group lo nannu add chaindi mawa,1
139,Super sir ila andharu alochinchi respectful ga move ithey society bagupadthadhi,1
140,Great sir me behavior ku na police vallu andharu me laga unte friendly policing,1
141,Nibba ki phone istey ela untundi,0
142,Super ga vundhi drama commen people ni sir ani kuda antara o my god this is team work guys,1
143,Nagavalli died because of this video,0
144,Prank lu chesukuntunaru e police gallu Public ni mosam cheyadaniki,0
145,Aatla vastai Anna niku enni telivi tetalu oka cinema thi anna,1
146,Vera level sinking sir comedy super,1
147,Police drama is thisjanaalanu andhulo specially night time sir ani respect iche antha seen ledu,0
148,Okkokkadiki 9 months pregnancy vundhi policelaki,0
149,Acting chaalabaagundi mi timing kanivandi performance kanivandi dialogue delivery gaani nice kipet up all the best you have a great future as an artist,1
150,Anna nuvvu chavaku యిది చాలా అన్యయంsuspense అదిరిపోయిందిnext episode వేగంగా pettanna,0
151,Ee movie kosam Wait చేసేవాళ్ళు like vesukondiii,1
152,ఈ పాట కన్న మీ మాటే బాగుంది,1
153,Character of the episode award goes to 1A master అంతే కధమ్మా రేయ్,1
154,Hope that there is no ending in madhu character waiting for next episode in telugu with madhu again మధు పోకూడదమ్మారేయ్,1
155,దేవి అడిగే ప్రశ్నలకు గట్టిగా దింపావూ గా సమాధానాలు విజయ్,0
156,విజయ్ ఇంత లాజికల్ ఆన్సర్స్ ఇస్తాడని అస్సలు expect చేయలేగ్రేట్,1
157,ఏర్రిపప్పా అవ్వడం కోసమే పుట్టిందే tv 9,0
158,Tv9 ki dula thirchestadu rgv,0
159,మనం విప్పుకు తిరుగుతూ చుట్టూ ఉన్న వాళ్ళన్ని కప్పుకో మన్నట్టుంది,0
160,వచ్చిందయ్యా మహా పతివ్రత అనసూయ అంటేనే నిలువెల్లా బూతు ఈమె చెబుతుంది నీతులు తూ సిగ్గుమాలిన జన్మ,0
161,Anasuya నువ్వు జబర్దస్త్ షో లో చేసేవి ఏమిటి వేదాలు వల్లిస్తున్నవా అసలు బూతులు నీ షో నుండే మొదలు పెట్టారు,0
162,boothu ki care of address ayina anasuya garu boothu gurinchi maatlaaduthundhi wah wah,0
163,Video super ayya editing super anthey,1
164,Edhi matharam jabardasth lo expose cheychu adult comedy Cheyachu Ari fikudhi,0
165,Assalu monna vachina Khiladi cinima lo anusuya matram hot hot ga ichi padesindianthe,1
166,Bhuthulu gurinchi double meanings gurinchi nuv matladodhu anusuya plz,0
167,RGV గారు ఈసారి మూర్తి గారి character పెట్టండి మీ సినిమా లో,1
168,Fan రెక్కలు విరిగే రోజు దగ్గరలోనే ఉంది,0
169,Meeku ichindhi mamulu post kadhusvbc chairman ante manchi postmeeru daani missuse chesukunnarujagan gurinchi pk gari gurinchi kadhumeeru avakaasamu miss use chesukunnaru,0
170,జఫ్ఫా తిమింగలం 420 గాడికి RiP ఎప్పుడు చెపుతారు,0
171,Pilichi pettinchukuntaru gaTV9 ki eemadhya sarada ayindi,0
172,E tv 9 ki burra poyandhi,0
173,నాగబాబు సెలక్షన్ సూపర్ గల్లీ బాయ్స్ అదుర్స్,1
174,Ñeela oka 1hr kuda undalem sir jai rgv,1
175,నీ judgement కరెక్ట్ గా ఉంటాది బ్రో,1
176,Srikanth reddy కచ్చితంగా తప్పు ఆ తప్పు చగురించి కళ్యాణి గారు చెప్పడం ఇంకా తప్పు,0
177,nag sir said about natraj master is absolutely correct ఆడియన్స్ మాస్టర్ గురించి ఏమనుకుంటున్నారో అదే చెప్పారు super nag sir,1
178,Akhil Shiva good players చాలా బాగా ఆడుతున్నారుi like Akhil and shiva,1
179,Vedhavalu Vedhavalu anni chotla vunnaruinka janalani yedipinchadam tappa,0
180,టీవీ ఫైవ్ ఎప్పుడు తప్పుడు ప్రచారమే,0
181,Byredyy cheyppadu kada ra nenu party maredu ledu ani Mee moddalo gola yanti raa,0
182,Vadu em matladuthunnado eanna artham aithe Kanisam telugu translator ni pettukovachuga Telugu bashaki respect ivvaru BJP vallu,0
183,Anna nee comedy Expressions baguntai,1
184,Bro ni slang ee neeku plus point Manchi humour undi neelo Elane regular ga videos chestu undu 100k pakka,1
185,ఇప్పటికైనా ap ప్రజలు బుద్ధి తెచ్చుకోవాలి,0
186,సిగ్గు లేకుండా తిరుగుతున్నారు ఎమ్ ఆబివుద్ది చేశారని తిరురుగుతున్నారు,0
187,మళ్ళీ వైసీపీ గెలిస్తే ఆంధ్రప్రదేశ్ ప్రజలు అడుక్కు తినాలి నూటికి 200 ఇది నిజం,0
188,MLA ticket కోసం పదవుల కోసమే ఈ గడప గడపకు ప్రభుత్వ యాత్ర పాపం CM గారి హామీలకి వీళ్ళు బలి,1
189,మెట్టు theskoni kottandi okka jobs ledu devlopmet ledu asalu డబ్బులు veyydam votes kosam pedda scam idi,0
190,మహేష్ బాబు ఈ రేంజ్ లో నవ్వడం ఇప్పటి వరకు ఇదే మొదటి సారి Big thanks to Sathi anna,1
191,కొంచెంకూడ హీరో అనే పొగరు లేదు గ్రేట్ సార్ మీరు,1
192,AVATAR ఒక అద్భుత ప్రపంచం దీని డైరెక్టర్ James Cameron అంతకన్నా అద్భుతం ఆయన ideas కి creativity కి,1
193,ఉమ అన్న అంటే కడుపు మంట కేవలం వెస్ట్ candate వి నువ్వు,0
194,Dīnamma jīvitaṁ Okka postive kāmeṇṭ kanīsaṁ cūdāṁ ani vetikina dorakaṭlēdu kadā anvēṣa,0
195,మీరు కూల్ గా వీడియోస్ చెసుకొండిఇ టెంక్సన్స్ వదిలేయండి,0
196,Ravi అన్న అన్నది నిజమే అని ఈపాటికే నటరాజ్ మాస్టర్ కి అర్థమైపోయిందినటరాజ్ మాస్టర్ ఇప్పటికైనా మనిషి గ మారండి,0
197,ఇంద్రజ గారి ఫాన్స్ ప్రోమోలో ఇంద్రజ గారు సూపర్బ్ టైమింగ్,1
198,Ravi prakash vunnappudu Chaala mandhi House lloki Veylli Vaalla bed rooms varaku Veyllaru Chaala mandhi Jevitaalato TV9 lanja channel Ani Chaala mandhi Cheypparu,0
199,Matter divert chestundii ame ra hamara Prasad ga bura leda kanisam legal ga ela adoption chesukovali ani gutleee,0
200,​BJP lo seat kosam baga chesav le stunt,0
201,RGV చెప్పేది చాలా కరెక్ట్ గా ఉంది,1
202,ప్రతి ఒక ఇంటర్వ్యూ లో చాలా కూల్ గా మాట్లాడతారు నిజాలు నిర్భయంగా చెబుతాడు ఎవడన్నా ఏమన్నా అనుకొని నేను చెప్పేది చెప్తా అనుకునే వ్యక్తి RGV,1
203,Theatre kellina badhitula ga ma badhalu panchukunnam anthe Boothulu tittadam family ni involve cheyadam ee panchayati lu oddu amma Happy ga undandi,0
204,Annnaaaaa Ekkadikellav anna innirojulu Pandemic time lo ni postmortem videos tho na stress antha pogattav especially with Saleem review,1
205,arey tv9 nuv పెట్టిన పోల్ కి ఏమైనా సంబంధం ఉందా రా,0
206,సంయుక్త గారి యక్కటింగ్ సూపర్ సినిమా సూపర్,1
207,Ippudu nuvvu cheppindi yem pikutanani news chesataru,0
208,Ni thumbnail jathini thenga,0
209,Puri sir me flop movies kuda vere directors teese hit movies kante manchi philosophical ga entertaining ga untai Meetho bagu paddollu mimmalni marchipoyi undicchu sir But memu kadu Love you sir E movie tho Vijay manchi super   avvalani korukuntunna  ,1
210,Puri raasina dialogues mahesh chepthea excellent ga set avthai,1
211,Endhukura ayya pichi pichi thumbnails pedtharu,0
212,u dont worry bro aa kalyani ki dhula Patti idhantha chesthundhi,0
213,​baga chepparumaha news is waste newsonly bjp ki tdp ki support vallu,0
214,​pora howley,0
215,కరెక్ట్ గా మాట్లాడుతున్నావ్ రా శ్రీకాంత్,1
216,jai kumar next nee amma nee sisters nee andharni petti prank thesthadu vadu wait,0
217,inkaa saavaledhu le vaadu baane sacchaadu yedhavakanipisthoone vundhigaa,0
218,​vaadikasalu em maatlaaduthunnaado clarity ne ledhu malli maatlaaduthunnaadu yedhava,0
219,​gayathri medam super cheppinav good,1
220,Open Heart with RK కి తెలంగాణ గవర్నర్ తమిళ సై గారు రావడం చాలా ఆనందంగా ఉంది వేటింగ్ ఫర్ ఎపిసోడ్,1
221,రాధాకృష్ణ గారు చాలా సంవత్సరాల తర్వాత మీరు సంతోషంగా కనిపించారు శుభాభినందనలు మీకు గౌరవ గవర్నర్ మేడంగారు నవ్వుతూనే నిప్పులు చెరిగారు,1
222,చాలా ఈజీగా మాట్లాడటం బాగుంది her excelency గవర్నర్ madam,1
223,Meeku governer post ivvadame waste,0
224,Meru enni kathalu padda kcr 100 next cm of telangana cheap interviews with cheap abn rada krishna,0
225,Asal mamulga ledu thop awesome,1
226,ah lobo ni marchandi ra babu,0
227,నా జీవితం లో చూసిన అద్భుతమైన వీడియో ఇదే,1
228,Ending naku tears vachai bro Harsh sai real hero God bless u brother,1
229,Intentionally geliki emina serious ite news chedamani,0
230,social media Parma chetha media valu asalu vishayalu telsikounda matladam Manchi Kadu,0
231,news valu pen undani rayatam manchidi Kadu,0
232,Evadentha echaru neeku dabbulu bewerse yadavalraa,0
233,ఈడు కామెడీ కి తక్కువ అడ్డగోలు వాగుడుకి ఎక్కువ బేవకూఫ్ ఎడవ,0
234,public meeting lo ala matladalo teliyani valaki anchor chance ivvakamdi,0
235,Over confidant ithe alage untadi super ga cheppi silent chesinav Suma akka,0
236,Suma akka meeru cooking show kuda anchoring chesthe chala baaguntundi,1
237,అలీ siggundali నీకు sanskaram లేదు నీకు నవ్వుతూ ఉన్న so called celebrities ki నవ్వు ఎలా వస్తుందో,0
238,Dayachesi Ali ki anchoring ivvakandi,0
239,Suma Akka u r super ni pakkana adu enduku chandalam ga,0
240,Ore ali inta asahyamga matladutaav adavallatho double meaning dialogues matladutav nuvvu MLA ayyi emi peekutav,0
241,Ali double meaning gaducheppu debba padali,0
242,Ali mi wife Kerala vellara Ani adigithe niku ela untundhi Thappura nayana ala matladatam,0
243,Vaadiki baagaa balsindhimind dobbinattundhikodikki,0
244,Nuv politics loki vellali anukutunnavemo Ila matladithe ninnu address lekunda kodatharu prajalu,0
245,Nidra pothunna gaadida nu lepi thanninchukovadam ante ide Dayachesi vadiki public lo mike ivvakandi,0
246,Waste gaadu ali,0
247,Suma gurinchi evvaru cheppanakkarledu Tanante maaku Chala istam,1
248,Deneke paneameladau Vadeke paneameladunekupaneameladu Raa,0
249,Climax chala bagundhi lots of fun enjoyed a lot,1
250,చాలా బాగుంది బ్రో చిన్నపుడు ఇవి అన్ని మేము చేసాము బ్రో చాలా హ్యాపీ గా ఉంది ఈ సిరీస్ చూస్తుంటే Best of luck bro,1
251,Ee Series Mana FilmyMoji Channel Lo Best Series avalani Korukuntuna,1
252,Fun moji కంటే filmy moji లో comedy చాలా బాగుంటుంది,1
253,గ్రేట్ women,1
254,Yenta spastanga ame voice undo chudandi,1
255,Waste fellow in tollywood,0
256,రచ్చ లేపే స్పీచ్ చెప్పాలంటే బండ్ల గణేష్ అన్న తర్వాతే ఎవరైనా,1
257,నిజమే పవన్ కళ్యాణ్ అంటే ఒక వెసనం చచ్చినా వదల్లేము,1
258,Nenu chusina all speech lo ekkuva sarlu chusanu,1
259,ఎన్ని సార్లు చూసిన చూడాలని అనిపించే speech,1
260,42సార్లు చూశానూ అయిన బోరు కొట్ట లేదు,1
261,Na friend valla papa ki operation ite Aravind gari foundation help chesindi He is really doing a commendable job,1
262,Tokka kooda oppukonu,0
263,Telangana lo bjp vasteneee trs aarachakaalu tagguthai police la ni venta pettukoni motham Telangana ni nashanam chestunnaru,0
264,KTR matladedi kanisam ardam chesukune brain leni vallu kuda ktr anadame Next election ki same place nunchi Poti chesi deposit techukunte chalu,0
265,Roja garu ituvanti baddu biraagilanu interview mee dignity thagguthadi ituvanti vaaru samaajaniki cheeda purugulu,0
266,Rajyanganni marustham ante matram thaggedele,1
267,Arey howle Nizamabad MP Pasupu bord Edhi be Nv esukunna Angi lagu kudha Cangress icchindhe and TELANGANA icchindhi kuda Cangress A meeru cheppe Digital India lo ni AAdhar card kuda Cangress tecchindhe,0
268,Chi chi neeku anchoring evadu nerponchondofarmers ni arrest chesinaru antesafety ki antavaintha dikkumaalina answer emina vuntada asaluante anyayam jarigindi Ani chepte arrest lu chestaruala arrest cheyyadam correct antava nv,0
269,Waste fellow he did nothing for telengana,0
270,Gundu Babu esari neku gundu sunna vasthundi no winnings,0
271,మీ ఎనాలిసిస్ వెరీ ఇంట్రెస్టింగ్ రియల్ we listen meticulously we appreciate you,1
272,Babu gogineni garu suereb ga Chepparu,1
273,RK gaaru pedda kulagajji gaaru,0
274,నీ అభిమాని అని చెప్పుకోవడానికి మాకు గర్వంగా ఉంది అన్నయ్య I love you annayya,1
275,అన్నా ఈ స్పీచ్ రోజుకు మూడు నాలుగుసార్లు చూస్తేగాని నాకు నిద్రరాదుసూపర్ బండ్ల,1
276,Miru miru okkatey madyalo fans ey suffer avuthaaru,0
277,Dabba rayulu,0
278,మీరు మీ ఫ్యామిలీ తగలెయ్య ఎక్కడినుండి పుట్టాడు రా మీ అందరూ మీరు మాట్లాడే భాష అసలు ఆ చిరంజీవి ఫ్యామిలీ దగ్గర మీ ఫ్యామిలీ ఎందుకు పని చేస్తుంది రా వెర్రి వెంగళప్ప నువ్వు నీ మాట్లాడను,0
279,Orey miru chese అభివృద్ధి ఏమైనా ఉన్నాయా భూతులు తిట్టడం తప్ప,0
280,Sannasi anagaane Nene ani mee honesty ki hats off sir,0
281,Idendayya idi Mariiii ila thayarayyaru Dandaalu ra ayya,0
282,Nani inkosari pk speech chudu Sollu kakunda raise chesina points gurinchi matladu Sannasivenuv no doubt,0
283,Peoples be like nuvvu nijanga erripukivi,0
284,Sanyasi ante yevaro anukunna e korja gada,0
285,Maa Karama elanti ministers undadam,0
286,Pk cheppindi enti Veedu cheppedi enti kulala madya chichu pedadam annatu undi veedu matladedi,0
287,పవన్ కళ్యాణ్ మూవీస్ లో హీరో రాజకీయం లో 0,0
288,asalu villu prajalaki em Manchi chesthunnaroo cheppandi boothulu maatlaadi public ki Tv ki entertainment cheyakandi,0
289,karthikeya masth cheppinddu sudheer miru jabardasth ki belong avvarudhee ki belong avvaru ma audience ki belong avutaru,1
290,నూతన సంవత్సర శుభాకాంక్షలు సూపర్ ఈవెంట్ సుధీర్ అండ్ రష్మీ డాన్స్ సూపర్ Iam wathing సంక్రాంతి ఈవెంట్,1
291,Climax telisikuda chusam ante thats all bcoz of Sudheer and Rashmi,1
292,Okko punch okko diamond la undi vronice edit,1
293,Vijay Devarakonda fans ekkada thagedhele,1
294,సుధీర్ అన్నా మీరు ఎదుటివారితో మాట్లాడే విధానం చాలా బాగుంటది అందుకే మీరంటే అందరికీ ఇష్టం ఎంత పైకి ఏదిగినా ఇలాగే వుండాలి,1
295,Sudheer gaaru team yekada unna full comedyperfect time ki set ayyeka comedy chestharu,1
296,ndian marriages antey narakami ve seen that hellpolice case lu blackmailing chala untayivinthaluviseshaluvadhu brothers marriage vadhuhappy ga single ga undandifocus on your goalslove your parentsfriendsgod bless you all…,0
297,lavada bro hater gallu chiller,0
298,gudda lo rod dimuptha,0
299,puk chinthapandu chestha na kodaka,0
300,denginchukondi ra monna na notlo modda pettaru gah,0
301,niamma puku denga siggu vundali ra,0
302,na athulu anta leru na endhuku ra,0
303,enko sari horn kodite gudda lo pedutha na kodaka,0
304,music apara lanja kodaka,0
305,Power staranedi oka brandevadu padithe vadu power star kadukaleduking okkade power star okkaleonly powerful power star pavan Kalyan okkade,1
306,Power star ante movies and acting kadu real star only,1
307,Dil raju mari ekkuva chestunnadu no one can name like pspk,0
308,కలం పట్టిన ప్రతీ వాడు శ్రీ శ్రీ కాలేడు హీరో అయిన ప్రతీ వాడు Power Star కాలేడు,1
309,Dont compare it with powerstar veedi laga chetha character lu chillar gadi character lu cheyadu ma Power star vaadu thaginchukunte manchidhi,0
310,Power star antha scene ledu,0
311,King of over acting Anna ki best over actor award always goes to vijay konda babu,0
312,Comparing every single bok gadu with Pawan Kalyan,0
313,Powar star okkade adhi pawan kalyan inka yavaru leru,1
314,Yenta mandhi stars vunna PAWAN KALYAN YE POWER STAR,1
315,అనిల్ రావపూడి గారు చాలా బాగా చేశారు,1
316,ఆడియో ఫంక్షన్ సూపర్ కామెడీ సూపర్ సూపర్ సూపర్,1
317,Venky sir ki assalu ego anedi leneledhu sir ur super man,1
318,సూపర్ అండీ ఆదిగారు చాలా బాగా చెప్పారు మీలా ప్రతి సెలబ్రిటీ ఆలోచించాలి,1
319,ADHIమతాల మద్య చిచ్చు పెట్టే ఎదవల నువాల్లు నమ్మిన దేవుడు కూడా క్షమించడుజైహింద్జై శ్రీరాం,0
320,బ్రదర్ మాకు ఇప్పటివరకు శివాజీ మహారాజు తెలుసు ఆయన ఒక కుమారుని గురించి మాకు ఎలాంటి విషయాలు తెలియవు మీరు తప్పక వీడియో ‍‌‌చేయండి ,0
321,మాస్టర్ గారు ఇది ఇంటర్వ్యూ లా లేదు ఇంటరాగేషన్ లా ఉంది సూపర్,1
322,కొట్టకుండా ఇంతసేపు మాట్లాడిన యాంకర్ కి నమస్కారాలు చూసిన మనకి పిచ్చి పరాకాష్ట,0
323,శివ అన్న నువు నవ్వుతూ నరకం చూపించే వాడివి అన్న నీ ఇంటర్వ్యూ కి వచ్చే వాళ్లకి,0
324,నా లైఫ్ మొత్తం లో ఫార్వర్డ్ చేయకుండా చుసిన వీడియో super interview shiva bhayya,1
325,baga chepparu nani anna meru correct,1
326,nani anna meru great,1
327,andukokune vaalu laga vunnaru meru natho comparision na,0
328,kallu pathukoni sanka kannidhi meru,0
329,jr ntr chala vinayam ga vuntaru,1
